Name,Buy,Category,Source,Filename,Version,Unique Entry ID,tipo
brick bridge,198000,Bridge,Resident Services Upgrade,BridgeBricks,1.0.0,Rvkrg9tcubTMakcBS,CONSTRUCTION
iron bridge,228000,Bridge,Resident Services Upgrade,BridgeIron,1.0.0,RmQ6iiKkFf3Sy4iSQ,CONSTRUCTION
log bridge,98000,Bridge,Resident Services Upgrade,BridgeLog,1.0.0,Px55sTfjKSbbMtjAK,CONSTRUCTION
red zen bridge,228000,Bridge,Resident Services Upgrade,BridgeRed,1.0.0,jTziEHXkeYaugKDQQ,CONSTRUCTION
stone bridge,168000,Bridge,Resident Services Upgrade,BridgeStone,1.0.0,JmrwC2tRRCCgbZnrp,CONSTRUCTION
suspension bridge,129800,Bridge,Resident Services Upgrade,BridgeSuspension,1.0.0,q52JebMTHDqHJKBba,CONSTRUCTION
wooden bridge,168000,Bridge,Resident Services Upgrade,BridgeWood,1.0.0,7oZ7FMrJEpBLZzsmw,CONSTRUCTION
zen bridge,228000,Bridge,Resident Services Upgrade,BridgeJapanese,1.0.0,TbKbHzJM8j8ezmAEF,CONSTRUCTION
basic door,5000,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowAR,1.0.0,HrAsZSpm2pRj2u8ad,CONSTRUCTION
beige basic door,5000,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowGR,1.0.0,uF4YeCTGBx4Tawcp8,CONSTRUCTION
beige simple door,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleBR,1.0.0,jQFLgioHYBRbRkBYK,CONSTRUCTION
beige windowed door,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowGR,1.0.0,oMqf22Pf8fZzeoJdY,CONSTRUCTION
beige wooden door,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardGR,1.0.0,N5LASg9qjhgexBMe7,CONSTRUCTION
black common door,5000,Door,4th House Upgrade (Right Room),HouseDoorReliefHR,1.0.0,6mmdmWbK5ZRpbCsWc,CONSTRUCTION
black fancy door,5000,Door,4th House Upgrade (Right Room),HouseDoorCarvingBR,1.0.0,3ZahH8gvtHGdkEM68,CONSTRUCTION
black imperial door,5000,Door,4th House Upgrade (Right Room),HouseDoorChineseHR,1.0.0,qT9ghD7YkZpMDgBDf,CONSTRUCTION
black latticework door,5000,Door,4th House Upgrade (Right Room),HouseDoorLatticeHR,1.0.0,Kzu4WsZwmSWzLdMC6,CONSTRUCTION
black rustic door,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityDR,1.0.0,TKDhdqyJBdrz8yQt6,CONSTRUCTION
black vertical-panes door,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowHR,1.0.0,Z4efmoeAjzYLhTsKJ,CONSTRUCTION
black zen door,5000,Door,4th House Upgrade (Right Room),HouseDoorJapaneseER,1.0.0,AxrkW9SNKqmh9kX4S,CONSTRUCTION
blue basic door,5000,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowER,1.0.0,BxqZmtEty82NDo8J3,CONSTRUCTION
blue common door,5000,Door,4th House Upgrade (Right Room),HouseDoorReliefCR,1.0.0,hfWfx4mxev3qjp2zH,CONSTRUCTION
blue fancy door,5000,Door,4th House Upgrade (Right Room),HouseDoorCarvingER,1.0.0,fm6MupiuPAK6HPNNj,CONSTRUCTION
blue iron door,5000,Door,4th House Upgrade (Right Room),HouseDoorIronCR,1.0.0,5tgy5p3AE38NBeG9B,CONSTRUCTION
blue latticework door,5000,Door,4th House Upgrade (Right Room),HouseDoorLatticeFR,1.0.0,JwdJLi5HHZe24DmkF,CONSTRUCTION
blue metal-accent door,5000,Door,4th House Upgrade (Right Room),HouseDoorIronpartsCR,1.0.0,YB3NZt9RRYJroWRcn,CONSTRUCTION
blue rustic door,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityFR,1.0.0,8k4sCwWWqugmTYuw6,CONSTRUCTION
blue simple door,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleDR,1.0.0,cN2eTBiAPt2Bv8GTK,CONSTRUCTION
